Country,MaternityLeaveWeeks,MaternityLeaveFuzzy,MaternityPaymentRate,MaternityPaymentFuzzy,MaternityFinalFuzzy,ChildcareSpending$,ChildcareSpendingFuzzy,ChildcareEnrolmentRate,ChildcareEnrolmentFuzzy,ChildcareFinalFuzzy,PublicSectorRate,PublicSectorFuzzy,HardBoardroomQuota,HardBoardroomFuzzy,SoftBoardroomQuota,SoftBoardroomFuzzy,WomenBoardroomRate,WomenBoardroomFuzzy
Australia,18,0.74,42.9,0.3,0.3,"4,000",0.38,61.8,0.7,0.38,15.6,0.21,No,0,Yes,1,29.7,0.49
Austria,60,1,82.3,0.84,0.84,"4,500",0.45,55.2,0.59,0.45,15.9,0.23,No,0,Yes,1,23.8,0.23
Czechia,63.3,1,74.1,0.74,0.74,"2,300",0.18,48,0.47,0.18,16.2,0.25,No,0,No,0,15.7,0.06
Denmark,50,1,53,0.41,0.41,"9,300",0.94,76.5,0.88,0.88,29.1,0.94,No,0,Yes,1,30.7,0.53
Estonia,166,0,50.8,0.39,0,"3,300",0.29,60.1,0.68,0.29,23,0.71,No,0,No,0,7.4,0.01
Finland,161,0,25.1,0.15,0,"7,200",0.81,55.4,0.6,0.6,24.9,0.81,No,0,Yes,1,33.3,0.62
France,42,1,42.9,0.3,0.3,"7,400",0.83,78.2,0.89,0.83,21.4,0.6,Yes,1,No,0,42.5,0.86
Germany,58,1,73.4,0.73,0.73,"5,600",0.62,65.9,0.76,0.62,10.6,0.06,Yes,1,No,0,32,0.57
Hungary,160,0,42.6,0.3,0,"3,400",0.3,54.2,0.58,0.3,21.9,0.64,No,0,No,0,15.3,0.05
Ireland,26,0.99,26.7,0.16,0.16,"2,500",0.2,65.3,0.75,0.2,15,0.19,No,0,Yes,1,24,0.24
Italy,47.7,1,52.7,0.41,0.41,"3,900",0.37,61.8,0.7,0.37,13.6,0.13,Yes,1,No,0,32.3,0.58
Luxembourg,37.3,1,84.8,0.86,0.86,"11,400",0.98,75.4,0.87,0.87,12.4,0.1,No,0,No,0,14.3,0.04
Netherlands,16,0.59,100,0.95,0.59,"4,700",0.49,76.9,0.88,0.49,12.8,0.11,No,0,Yes,1,21.3,0.15
Norway,91,0.8,47.3,0.35,0.35,"11,400",0.98,76.6,0.88,0.88,30,0.95,Yes,1,No,0,45.6,0.91
Poland,52,1,80,0.81,0.81,"2,500",0.2,45.6,0.43,0.2,6.2,0.02,No,0,Yes,1,15.2,0.05
Portugal,30.1,1,67.7,0.64,0.64,"2,100",0.16,63.8,0.73,0.16,15.2,0.2,No,0,Yes,1,16.7,0.07
Slovakia,164,0,32.4,0.21,0,"2,300",0.18,38.1,0.33,0.18,19.4,0.46,No,0,No,0,20.8,0.14
Slovenia,52.1,1,92.9,0.92,0.92,"2,400",0.19,65.6,0.76,0.19,17.4,0.32,No,0,No,0,26.2,0.32
Spain,16,0.59,100,0.95,0.59,"2,900",0.24,66.8,0.77,0.24,15.7,0.22,No,0,Yes,1,19.5,0.11
Sweden,55.7,1,62.1,0.54,0.54,"10,700",0.97,70.4,0.82,0.82,28.6,0.93,No,0,Yes,1,36.9,0.73
UK,39,1,30.1,0.19,0.19,"3,700",0.34,68.9,0.8,0.34,16.4,0.26,No,0,Yes,1,27.5,0.38
US,0,0,0,0.05,0,"2,500",0.2,47.1,0.46,0.2,15.3,0.2,No,0,No,0,23.4,0.21